name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature
Calvin Harris - Promises (with Sam Smith);0.781;0.768;11.0;-5.991;1.0;0.0394;0.0119;0.00000491;0.325;0.486;123.07;213309.0;4.0
Lil Baby - Yes Indeed;0.964;0.346;5.0;-9.309;0.0;0.53;0.035;0.0;0.108;0.562;119.958;142273.0;4.0
Lauv - I Like Me Better;0.752;0.505;9.0;-7.621;1.0;0.253;0.535;0.00000255;0.104;0.419;91.97;197437.0;4.0
Keala Settle - This Is Me;0.284;0.704;2.0;-7.276;1.0;0.186;0.00583;0.000115;0.0424;0.1;191.702;234707.0;4.0
XXXTENTACION - Everybody Dies In Their Nightmares;0.734;0.57;7.0;-7.066;0.0;0.133;0.847;0.0000214;0.112;0.689;129.953;95467.0;4.0
Zac Efron - Rewrite The Stars;0.684;0.619;10.0;-7.005;1.0;0.0386;0.0716;0.0;0.122;0.284;125.046;217440.0;4.0
Clean Bandit - I Miss You (feat. Julia Michaels);0.638;0.658;3.0;-6.318;1.0;0.0456;0.245;0.00000377;0.0919;0.33;105.076;205748.0;4.0
DJ Khaled - No Brainer;0.552;0.76;0.0;-4.706;1.0;0.342;0.0733;0.0;0.0865;0.639;135.702;260000.0;5.0
ZAYN - Dusk Till Dawn - Radio Edit;0.258;0.437;11.0;-6.593;0.0;0.039;0.101;0.00000127;0.106;0.0967;180.043;239000.0;4.0
Dean Lewis - Be Alright;0.553;0.586;11.0;-6.319;1.0;0.0362;0.697;0.0;0.0813;0.443;126.684;196373.0;4.0
